Year,country,iso_code,population,gdp,energy_per_capita,Temperature anomaly,co2,co2_per_capita,co2_including_luc,land_use_change_co2,coal_co2,oil_co2,gas_co2,share_global_co2,temperature_change_from_co2,Continent
1982,Algeria,DZA,19872353.0,103073663847.0,12485.2919921875,-1.2686027,38.80778503417969,1.952852964401245,35.388427734375,-3.4193546772003174,1.97489595413208,18.642431259155277,7.170447826385498,0.2071987092494964,0.0004086937697138,Africa
1983,Algeria,DZA,20558120.0,108430390837.0,13180.5185546875,-0.6217546,52.07420349121094,2.5330235958099365,65.89484405517578,13.820645332336426,3.147594928741455,22.02217483520508,16.610069274902344,0.2754989862442016,0.0004351296811364,Africa
1984,Algeria,DZA,21271969.0,114406671796.0,12231.880859375,-1.3778108,70.41700744628906,3.310319185256958,77.1041030883789,6.687093257904053,4.026735782623291,22.76809501647949,30.510128021240234,0.3619062900543213,0.0004685144231189,Africa
1985,Algeria,DZA,22008542.0,120364208777.0,11917.9443359375,-0.7508324,71.98777770996094,3.270901679992676,77.08711242675781,5.099335193634033,3.0777599811553955,22.50428771972656,27.699840545654297,0.3573505282402038,0.0005023130215704,Africa
1986,Algeria,DZA,22745501.0,119145030269.0,12199.798828125,-1.0604212,75.38179779052734,3.314141035079956,83.82915496826172,8.447352409362793,2.726016044616699,22.76076889038086,33.08591842651367,0.3688308000564575,0.0005380995571613,Africa
1987,Algeria,DZA,23443627.0,118321211437.0,12163.9921875,0.08578769,83.01972961425781,3.5412492752075195,89.00069427490234,5.980967044830322,2.9678399562835693,25.09107208251953,40.11713409423828,0.3933430314064026,0.0005768294213339,Africa
1988,Algeria,DZA,24109538.0,115821713281.0,12668.0908203125,-0.3287661,82.838623046875,3.435927391052246,88.67152404785156,5.832904815673828,2.9750380516052246,27.284616470336918,38.972267150878906,0.3779348731040954,0.0006154837901704,Africa
1989,Algeria,DZA,24754488.0,119762433617.0,12000.5830078125,-0.429664,78.942138671875,3.189002990722656,82.01783752441406,3.0757079124450684,2.9861600399017334,25.15336036682129,36.672977447509766,0.3555917739868164,0.0006516553694382,Africa
1990,Algeria,DZA,25375815.0,117843179781.0,12412.359375,-0.2555891,75.8921127319336,2.9907259941101074,88.36884307861328,12.476725578308104,2.9421920776367188,23.204111099243164,38.908016204833984,0.3338537216186523,0.000688700878527,Africa
1991,Algeria,DZA,25987937.0,121105141795.0,12009.2294921875,-1.2838659,77.97586059570312,3.0004637241363525,105.99234008789062,28.016481399536133,2.689375877380371,26.065696716308597,38.42803192138672,0.3360218703746795,0.0007303474121727,Africa
1992,Algeria,DZA,26628570.0,127982696018.0,12025.6875,-1.5408434,79.28417205810547,2.977410316467285,92.99468231201172,13.710504531860352,2.3779358863830566,28.67812728881836,31.931760787963867,0.3520545363426208,0.0007692220970056,Africa
